,0_precision,0_recall,0_mAP50,0_mAP50_95,1_precision,1_recall,1_mAP50,1_mAP50_95,2_precision,2_recall,2_mAP50,2_mAP50_95,3_precision,3_recall,3_mAP50,3_mAP50_95,4_precision,4_recall,4_mAP50,4_mAP50_95,5_precision,5_recall,5_mAP50,5_mAP50_95,6_precision,6_recall,6_mAP50,6_mAP50_95,7_precision,7_recall,7_mAP50,7_mAP50_95,8_precision,8_recall,8_mAP50,8_mAP50_95,9_precision,9_recall,9_mAP50,9_mAP50_95,10_precision,10_recall,10_mAP50,10_mAP50_95
Model 1,0.8182626356532188,0.5859247135842881,0.6800157576983095,0.4578763002471538,0.7329825718073648,0.5314009661835749,0.5590092011062371,0.3718654573521381,0.7320048825106089,0.6098169717138103,0.6676069644304444,0.44743512267748037,0.801504327868547,0.6513409961685823,0.7354853924189626,0.5237631748028806,0.8872898487495547,0.7383177570093458,0.8257961065163635,0.6649955145100171,0.8561185365446571,0.7813355405145268,0.8726376600760389,0.6595341256821972,0.628231262075779,0.5467289719626168,0.5947870951457939,0.42682339843624784,0.7151611752417206,0.4817204301075269,0.5458130644603032,0.32466848805887316,0.8948549464424403,0.8010471204188482,0.8467954416389714,0.6726796898907452,0.807009859912267,0.7700534759358288,0.8243081415006495,0.7314077821307035,0.7595946012925957,0.5188679245283019,0.5822148233633974,0.41527950842901823
Model 2,0.8480461980554505,0.6350245499181669,0.7352140788421064,0.5034488525869517,0.7776994425759751,0.5845410628019324,0.6809201185121962,0.4480311512430729,0.7580336283553536,0.6281249416960887,0.707604167028079,0.480544141237799,0.8728537315885118,0.685823754789272,0.7784760456292379,0.5776833605466287,0.8721778262323486,0.7971283212337126,0.8843024787242441,0.7358564265035855,0.9071458950287951,0.8223577583759434,0.9046537614525642,0.7024680158363831,0.6841139540390225,0.6223867481053891,0.6657704116560224,0.5052450059181435,0.7793754851693417,0.4989247311827957,0.5952726723728904,0.3509180830852274,0.9228971658033611,0.7905759162303665,0.8785372690088169,0.7132968493487646,0.8049416578926653,0.7944465292136551,0.8584763055751311,0.7470425390654027,0.724490819747455,0.5943396226415094,0.6485161544992584,0.4758870863168589
Model 3,0.8423535195200513,0.5771822937588725,0.6854379491375864,0.4490300254369706,0.7199035679339171,0.5265700483091788,0.5857658064074374,0.3876056408084537,0.7660498189092457,0.591514143094842,0.6694656188293822,0.4518816541286156,0.8619452053573106,0.6666666666666666,0.7288905308549434,0.5098024194752757,0.8427505793382974,0.7429906542056075,0.8326730442155719,0.6972985034925445,0.8444211413119608,0.797979797979798,0.8559106754178625,0.6484531312621437,0.6435595863375918,0.5484063019556513,0.5884691691830541,0.4362252656000757,0.7501782852800026,0.47956989247311826,0.5701447944059015,0.33447854119349707,0.9040707881096812,0.7958115183246073,0.8477186302211714,0.6738194349710396,0.836455686386465,0.7486631016042781,0.8250197100264596,0.7206215909516432,0.7887546921107687,0.4931760434729239,0.5919594501775801,0.4349534883215074
Model 4,0.8711882434381993,0.6586160983699075,0.768570573941901,0.5403847774478953,0.8363861400243243,0.6420833537144323,0.7257526348193131,0.5229263208626038,0.7732996167329782,0.6470324003325704,0.7344023354272159,0.5083548952246952,0.8954450515792217,0.7126436781609196,0.8258802913314813,0.6164304885050383,0.935276971743051,0.8598130841121495,0.9197887050281259,0.7789429552070828,0.8786901082847786,0.8754208754208754,0.9287211639940537,0.7322477424422406,0.7350424064667519,0.6565420560747663,0.7257559651245312,0.5719633457374791,0.7997896028959215,0.5376344086021505,0.6286438698286257,0.39972259033418184,0.9014042477967512,0.8115183246073299,0.870537825296894,0.7309654349367212,0.7952183313952995,0.8021390374331551,0.860484657510172,0.768601114892426,0.7998335686674152,0.5754716981132075,0.6643402949181797,0.504310297537756
Model 5,0.8711882434381993,0.6586160983699075,0.768570573941901,0.5403847774478953,0.8363861400243243,0.6420833537144323,0.7257526348193131,0.5229263208626038,0.7732996167329782,0.6470324003325704,0.7344023354272159,0.5083548952246952,0.8954450515792217,0.7126436781609196,0.8258802913314813,0.6164304885050383,0.935276971743051,0.8598130841121495,0.9197887050281259,0.7789429552070828,0.8786901082847786,0.8754208754208754,0.9287211639940537,0.7322477424422406,0.7350424064667519,0.6565420560747663,0.7257559651245312,0.5719633457374791,0.7997896028959215,0.5376344086021505,0.6286438698286257,0.39972259033418184,0.9014042477967512,0.8115183246073299,0.870537825296894,0.7309654349367212,0.7952183313952995,0.8021390374331551,0.860484657510172,0.768601114892426,0.7998335686674152,0.5754716981132075,0.6643402949181797,0.504310297537756
Model 6,0.8453436470507425,0.670943012397187,0.7650474152706306,0.540642338459004,0.7724772585567846,0.6473429951690821,0.7248259459029143,0.5289845169903513,0.7480117135722192,0.6522462562396006,0.731164415785152,0.5088214778088593,0.899323716253761,0.7187375648574159,0.8272270470256714,0.6143894525746754,0.9042282725995144,0.8504672897196262,0.9245949164992914,0.7839128980929664,0.858334839235213,0.8772170316838109,0.925636924012716,0.7323133459761779,0.714130828568064,0.6728971962616822,0.7335446872627992,0.5759461830755056,0.772635446984796,0.5634408602150538,0.626608167196336,0.3995873302968959,0.8962073807404463,0.8137389688914808,0.8696707247880229,0.7308538571005339,0.7896812958545714,0.8288770053475936,0.8657094494648567,0.7728837172295777,0.7404904353721874,0.5943396226415094,0.647591507365936,0.5032827559298815
Model 7,0.8427618610735266,0.644752695240879,0.7368678814966725,0.5153942477220116,0.82648932921283,0.5292683603571612,0.6803872481473431,0.47644566784118575,0.7448033781265307,0.6131447587354409,0.6900557577733903,0.4700550694675898,0.872777880761064,0.7203065134099617,0.8127106788241422,0.5868699397955686,0.9249079417725028,0.8057903974403176,0.8917548626242138,0.74537638732591,0.8831129841282509,0.8316498316498316,0.9007625787711531,0.6973172830268961,0.7268310579685731,0.6285046728971962,0.6935811558983404,0.5380897769683703,0.7670864913960399,0.4967741935483871,0.5803823323656978,0.3650980860098231,0.9353257029906901,0.7571856180040695,0.8411108445134896,0.7050117568056001,0.801075260561392,0.7807486631016043,0.8411696582698465,0.7507874127000909,0.7862962876781374,0.5553917432863578,0.6081518759602258,0.46515724740730935
Model 8,0.8525528418884977,0.6671644822523907,0.7662585623420982,0.5434184223853376,0.834067570616197,0.6183574879227053,0.7214072497938386,0.5328891909753262,0.7689482172340835,0.6547420965058236,0.7362350653839759,0.5099208659611616,0.9004816922218994,0.7164750957854407,0.8301072269017585,0.6171065351163076,0.8954128124453037,0.8401413129286179,0.9149299720393307,0.7763748728652591,0.887751962363374,0.8686868686868687,0.9296443168227515,0.7368571156734312,0.743244461442986,0.6695827295157687,0.7427123371331764,0.5805986426987897,0.7809565532092043,0.5520484937249601,0.626383105617188,0.39813914455974053,0.9043742379484062,0.8219895287958116,0.872974317288149,0.7217132578674503,0.7977364016712452,0.8128342245989305,0.8690571912623575,0.776469183780306,0.7390918581263642,0.5943396226415094,0.6458498213904931,0.49427736004918243
