,0,1,2,3,4,5,6,7,8,9,10
Model 1,0.4578763002471538,0.3718654573521381,0.44743512267748037,0.5237631748028806,0.6649955145100171,0.6595341256821972,0.42682339843624784,0.32466848805887316,0.6726796898907452,0.7314077821307035,0.41527950842901823
Model 2,0.5034488525869517,0.4480311512430729,0.480544141237799,0.5776833605466287,0.7358564265035855,0.7024680158363831,0.5052450059181435,0.3509180830852274,0.7132968493487646,0.7470425390654027,0.4758870863168589
Model 3,0.4490300254369706,0.3876056408084537,0.4518816541286156,0.5098024194752757,0.6972985034925445,0.6484531312621437,0.4362252656000757,0.33447854119349707,0.6738194349710396,0.7206215909516432,0.4349534883215074
Model 4,0.5403847774478953,0.5229263208626038,0.5083548952246952,0.6164304885050383,0.7789429552070828,0.7322477424422406,0.5719633457374791,0.39972259033418184,0.7309654349367212,0.768601114892426,0.504310297537756
Model 5,0.5403847774478953,0.5229263208626038,0.5083548952246952,0.6164304885050383,0.7789429552070828,0.7322477424422406,0.5719633457374791,0.39972259033418184,0.7309654349367212,0.768601114892426,0.504310297537756
Model 6,0.540642338459004,0.5289845169903513,0.5088214778088593,0.6143894525746754,0.7839128980929664,0.7323133459761779,0.5759461830755056,0.3995873302968959,0.7308538571005339,0.7728837172295777,0.5032827559298815
Model 7,0.5153942477220116,0.47644566784118575,0.4700550694675898,0.5868699397955686,0.74537638732591,0.6973172830268961,0.5380897769683703,0.3650980860098231,0.7050117568056001,0.7507874127000909,0.46515724740730935
Model 8,0.5434184223853376,0.5328891909753262,0.5099208659611616,0.6171065351163076,0.7763748728652591,0.7368571156734312,0.5805986426987897,0.39813914455974053,0.7217132578674503,0.776469183780306,0.49427736004918243
